DATE,NCRSAXDCBRQ
1996-01-01,146611.5
1996-04-01,150642.3
1996-07-01,155370.0
1996-10-01,155462.8
1997-01-01,157049.1
1997-04-01,157132.2
1997-07-01,155612.7
1997-10-01,155823.8
1998-01-01,156873.6
1998-04-01,156611.1
1998-07-01,157738.0
1998-10-01,155744.3
1999-01-01,155931.0
1999-04-01,156202.3
1999-07-01,158168.0
1999-10-01,160897.5
2000-01-01,159339.8
2000-04-01,161647.5
2000-07-01,163119.6
2000-10-01,164710.6
2001-01-01,165869.6
2001-04-01,166279.2
2001-07-01,162319.2
2001-10-01,163757.5
2002-01-01,167735.7
2002-04-01,168767.0
2002-07-01,167403.6
2002-10-01,166862.1
2003-01-01,167369.4
2003-04-01,166267.8
2003-07-01,167370.2
2003-10-01,169528.1
2004-01-01,168574.6
2004-04-01,172812.1
2004-07-01,175341.3
2004-10-01,178406.0
2005-01-01,178342.7
2005-04-01,179257.5
2005-07-01,181833.1
2005-10-01,183814.6
2006-01-01,186314.7
2006-04-01,188127.6
2006-07-01,190136.2
2006-10-01,193895.0
2007-01-01,197229.0
2007-04-01,199909.9
2007-07-01,200613.1
2007-10-01,204812.7
2008-01-01,207652.6
2008-04-01,210751.0
2008-07-01,215192.8
2008-10-01,210838.8
2009-01-01,214592.8
2009-04-01,218257.0
2009-07-01,222712.6
2009-10-01,225130.7
2010-01-01,228403.8
2010-04-01,229909.7
2010-07-01,234304.1
2010-10-01,238344.1
2011-01-01,241023.6
2011-04-01,243533.0
2011-07-01,242574.9
2011-10-01,243457.0
2012-01-01,245589.1
2012-04-01,248993.3
2012-07-01,251243.2
2012-10-01,253913.8
2013-01-01,254986.5
2013-04-01,257896.3
2013-07-01,259544.4
2013-10-01,260003.9
2014-01-01,263254.1
2014-04-01,261913.0
2014-07-01,262370.1
2014-10-01,265002.3
2015-01-01,261731.5
2015-04-01,256793.3
2015-07-01,253174.9
2015-10-01,251300.9
2016-01-01,247952.7
2016-04-01,248254.6
2016-07-01,247362.6
2016-10-01,246706.1
2017-01-01,248216.1
2017-04-01,250962.2
2017-07-01,252856.9
2017-10-01,253895.8
2018-01-01,256026.8
2018-04-01,256053.5
2018-07-01,257527.3
2018-10-01,256758.7
2019-01-01,260610.6
2019-04-01,260803.0
2019-07-01,262044.8
2019-10-01,262737.7
2020-01-01,259345.7
2020-04-01,233447.7
2020-07-01,248815.5
2020-10-01,256311.7
2021-01-01,257741.2
2021-04-01,255216.0
2021-07-01,259296.7
2021-10-01,260350.5
2022-01-01,263609.7
2022-04-01,267101.1
2022-07-01,270234.0
2022-10-01,270012.5
2023-01-01,272314.9
2023-04-01,274745.1
2023-07-01,277434.4
