"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1574053000000","1180909000000","",
"Africa Western and Central","AFW","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403479000000","435088853100","444034551000","469602645600","531389869400","556303651300","616163639000","606034788400","657582310300","748971933800","793584376200","888774726600","910863523800","997189439900","988831318500","963348888300","954732662700","957278283700","858450180300","879554857300","935340715100",
"Albania","ALB","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","748036068700","617502056700","582029801000","597218677500","623289795200","651897050400","697215486000","760067143000","788678407600","831258353900","879073919400","981202895600","1074172267200","1085447122600","1106590150000","1124641730000","1126056237500","1148209052600","1185497207600","1196152730800","1225313152000","1256328227000","1292758876100","1334838463500","1297538293000","1363222603700","1438828268400",
"Andorra","AND","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550518002100","583514055800","597430295400","653467261700","663332020700","748317489800","830493251300","929353043600","725926281300","556297588000","618851830800","562311917100","621596832600","680022609300","575095663300","580351515700","638250466500","658907059700","724541200000","656820900000","","",
"Argentina","ARG","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","135217765560","148348250210","144634160000","140506020490","155353433640","168781074920","166950509930","172036049710","180005638160","191430631720","195402066230","205472615990","208508813810","218004846800","233514842900","233466411290","217401955120","222343704920","219873664610","249631055230","265565224860","256047479690","244323550830","254674675620","265266289460","243922744940","266520504440","271173333660","259977172750","244381997170","240495755780","276048291700","312504337200","326713778500","343539104600","331254185100","347770343600","375811460600","388803879400","383754664500","381970339300","362271189700","315789648100","337797530000","366000674400","394385503700","433310579900","472849642800","505628891400","486011755700","536172263500","582681923200","590690196300","613590820000","593269885500","617938453800","613364548500","637406174200","623441926000","584979299500","522990184800","573544327900","621645468700",
"Armenia","ARM","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1476366411900","1589700906000","1630709778800","1737705132500","1805221071000","1820132148300","1960496664500","2093614066900","2258110366100","2433478094100","2654947835100","2925487555800","3187443213200","3576052835700","3738589185400","3586824220700","3723673560800","3828201166800","4129498300000","4224476760900","4275170482000","4018660253100","3934268387800","4390643520800","4557487974600","5090714067600","4535826234200","4594791975244.6","4852100325858.3",
"American Samoa","ASM","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","192897000000","197620000000","203015000000","213617000000","227267000000","240172000000","250163000000","263066000000","278173000000","291831000000","310501000000","323358000000","335455000000","350154000000","369388000000","390455000000","400193000000","416899000000","426076000000","434293000000","442546000000","458302000000","479330000000","491020000000","500529000000","512801000000","535360000000","548076000000","566413000000","590353000000","613448000000","622858000000","637888000000","651056000000","663337000000","692404000000","717231000000","736420000000","772108000000","813780000000","846046000000","871145000000","897792000000","932958000000","980674000000","1021668000000","1054892000000","1104886000000","1153311000000","1167639000000","1203067000000","1248974000000","1287916000000","1308070000000","1335815000000","1369516000000","1412924000000","1456327000000","1499417000000","1537209000000","1531194000000","1570693000000","1649799000000",
