DATE,NCRSAXDCZAQ
1993-01-01,444621.1
1993-04-01,454120.1
1993-07-01,453272.6
1993-10-01,456584.0
1994-01-01,461654.4
1994-04-01,464928.8
1994-07-01,467827.3
1994-10-01,470714.7
1995-01-01,474986.9
1995-04-01,476889.6
1995-07-01,479850.6
1995-10-01,483941.6
1996-01-01,490590.6
1996-04-01,496970.4
1996-07-01,502678.9
1996-10-01,507943.9
1997-01-01,511193.6
1997-04-01,513424.6
1997-07-01,516320.7
1997-10-01,516836.4
1998-01-01,518777.8
1998-04-01,519133.9
1998-07-01,518453.7
1998-10-01,517415.7
1999-01-01,518429.4
1999-04-01,523381.3
1999-07-01,528398.5
1999-10-01,533225.4
2000-01-01,538498.9
2000-04-01,543884.0
2000-07-01,549027.8
2000-10-01,553117.7
2001-01-01,557845.8
2001-04-01,562035.2
2001-07-01,566739.1
2001-10-01,572340.4
2002-01-01,578797.4
2002-04-01,581483.8
2002-07-01,585415.3
2002-10-01,592235.5
2003-01-01,595522.9
2003-04-01,600104.8
2003-07-01,606802.4
2003-10-01,617109.2
2004-01-01,625708.6
2004-04-01,636855.0
2004-07-01,647080.5
2004-10-01,655099.8
2005-01-01,660104.6
2005-04-01,666741.6
2005-07-01,675523.3
2005-10-01,688996.8
2006-01-01,705095.0
2006-04-01,716860.5
2006-07-01,730193.6
2006-10-01,744682.8
2007-01-01,755459.0
2007-04-01,765685.9
2007-07-01,776415.8
2007-10-01,786087.3
2008-01-01,789433.5
2008-04-01,791721.9
2008-07-01,792782.7
2008-10-01,790741.3
2009-01-01,782993.4
2009-04-01,777692.8
2009-07-01,777769.2
2009-10-01,775952.2
2010-01-01,795229.1
2010-04-01,808663.9
2010-07-01,820061.1
2010-10-01,823343.5
2011-01-01,831573.4
2011-04-01,842652.1
2011-07-01,848148.5
2011-10-01,856777.2
2012-01-01,863742.0
2012-04-01,871267.7
2012-07-01,880438.9
2012-10-01,884748.6
2013-01-01,888366.7
2013-04-01,892899.4
2013-07-01,892601.3
2013-10-01,893601.7
2014-01-01,895801.7
2014-04-01,899739.1
2014-07-01,902339.5
2014-10-01,905305.8
2015-01-01,909017.7
2015-04-01,911354.8
2015-07-01,914894.1
2015-10-01,919234.3
2016-01-01,917108.5
2016-04-01,920924.0
2016-07-01,925953.2
2016-10-01,926662.8
2017-01-01,924095.2
2017-04-01,931720.8
2017-07-01,937658.8
2017-10-01,943380.9
2018-01-01,952783.8
2018-04-01,960029.7
2018-07-01,959120.9
2018-10-01,965373.8
2019-01-01,960719.4
2019-04-01,971718.0
2019-07-01,976562.5
2019-10-01,982320.9
2020-01-01,986264.9
2020-04-01,828021.7
2020-07-01,937245.0
2020-10-01,963214.2
2021-01-01,965630.0
2021-04-01,979365.3
2021-07-01,958701.6
2021-10-01,980442.1
2022-01-01,991524.3
2022-04-01,990071.8
2022-07-01,990659.0
2022-10-01,994374.7
2023-01-01,1000080.4
2023-04-01,1002581.8
2023-07-01,1000969.3
