DATE,BRAPFCEQDSMEI
1996-01-01,129941173520.565
1996-04-01,134172460880.98
1996-07-01,140787780715.79102
1996-10-01,152039584882.664
1997-01-01,152251629964.883
1997-04-01,156071857407.799
1997-07-01,155874902894.54602
1997-10-01,157608609732.772
1998-01-01,161103265588.432
1998-04-01,160877263150.999
1998-07-01,162156632480.01102
1998-10-01,158793838780.557
1999-01-01,168893957593.677
1999-04-01,172280252095.307
1999-07-01,177783110990.458
1999-10-01,184574679320.558
2000-01-01,180077404171.46597
2000-04-01,192062649193.929
2000-07-01,199087130566.943
2000-10-01,203298816067.662
2001-01-01,207518047188.113
2001-04-01,211856443460.19
2001-07-01,210688437354.974
2001-10-01,213438071996.72302
2002-01-01,220367560322.961
2002-04-01,227635857062.657
2002-07-01,232951647342.85
2002-10-01,240580935271.53302
2003-01-01,262595029894.837
2003-04-01,262485824184.19897
2003-07-01,266456479076.89102
2003-10-01,270922666844.07297
2004-01-01,279896634825.31
2004-04-01,287590726861.596
2004-07-01,300703724404.554
2004-10-01,310502913908.54
2005-01-01,314801079713.713
2005-04-01,324593260924.636
2005-07-01,331600715948.54004
2005-10-01,342300943413.11096
2006-01-01,351512023432.967
2006-04-01,358427418552.843
2006-07-01,367409634656.604
2006-10-01,378866923357.586
2007-01-01,392269295093.54395
2007-04-01,403103447385.987
2007-07-01,408436402472.61
2007-10-01,424946855047.859
2008-01-01,443181068958.57196
2008-04-01,459174635721.10803
2008-07-01,476768350661.26196
2008-10-01,478385944659.058
2009-01-01,485732553890.546
2009-04-01,507892984385.621
2009-07-01,529888514360.32495
2009-10-01,541518947363.50903
2010-01-01,558132787483.314
2010-04-01,573290475423.605
2010-07-01,593058638127.746
2010-10-01,615684098965.335
2011-01-01,635069054048.8351
2011-04-01,654254937910.503
2011-07-01,665962465258.505
2011-10-01,682527542782.158
2012-01-01,706712081658.21
2012-04-01,725509157858.624
2012-07-01,751788808279.36
2012-10-01,772824952203.806
2013-01-01,789786407247.901
2013-04-01,815117110395.516
2013-07-01,832720632685.204
2013-10-01,852798849671.38
2014-01-01,885990943938.232
2014-04-01,900153929131.7511
2014-07-01,912975176239.861
2014-10-01,939283950690.156
2015-01-01,949344650024.672
2015-04-01,952350057545.281
2015-07-01,960081255225.646
2015-10-01,973416037204.401
2016-01-01,989460361844.412
2016-04-01,1002307817570.81
2016-07-01,1015226490330.71
2016-10-01,1021141330254.07
2017-01-01,1035305733057.17
2017-04-01,1053935211610.3601
2017-07-01,1068473801951.87
2017-10-01,1089544253380.5999
2018-01-01,1109431330899.83
2018-04-01,1120890796926.8
2018-07-01,1139816197252.17
2018-10-01,1155663674921.2
2019-01-01,1179951137397.1199
2019-04-01,1197129025225.41
2019-07-01,1210317851945.55
2019-10-01,1226180985431.92
2020-01-01,1241538458513.1802
2020-04-01,1092131723286.4899
2020-07-01,1193727193335.28
2020-10-01,1277606624865.05
2021-01-01,1319353503371.3298
2021-04-01,1336466643894.02
2021-07-01,1404955991242.29
2021-10-01,1469794861492.36
2022-01-01,1512299104039.01
2022-04-01,1592771449073.49
2022-07-01,1615698833580.23
2022-10-01,1635889613307.26
2023-01-01,1673896419019.04
2023-04-01,1714145459194.1099
2023-07-01,1738021816333.75
