Macrotrends Data Download

Nigeria Consumer Spending 1981-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Spending, Per Capita, Growth Rate
date, Billions of US $, Per Capita, Annual % Change
1981-12-31,16.174657285714,1434.1995
1982-12-31,17.634994943487,1230.5439,-11.6746
1983-12-31,20.533264455658,925.3776,-22.8913
1984-12-31,26.190020891892,956.6887,5.971
1985-12-31,35.3003681649,1143.1551,22.7929
1986-12-31,22.88574184675,1009.4625,-9.3508
1987-12-31,22.218545498385,928.7492,-5.5938
1988-12-31,24.529024489539,968.2022,6.9799
1989-12-31,13.146862789563,871.4839,-7.6059
1990-12-31,18.679292874153,1051.0649,23.8186
1991-12-31,19.107646607223,1085.0027,5.908
1992-12-31,21.245273029607,1237.053,16.9278
1993-12-31,13.029483307742,1106.4265,-8.2441
1994-12-31,17.629756811796,972.0639,-9.8523
1995-12-31,23.26977726261,994.5067,4.9587
1996-12-31,28.945449935,1163.4662,19.9831
1997-12-31,29.827359145984,1097.6986,-3.2421
1998-12-31,33.3083662375,1066.8556,-0.3334
1999-12-31,30.911779318825,951.261,-8.5389
2000-12-31,28.276898463036,943.2116,1.7685
2001-12-31,44.612351129142,1464.027,59.3875
2002-12-31,61.436058617013,1642.2137,15.2212
2003-12-31,68.597389252433,1770.7151,10.7678
2004-12-31,80.756465276514,1727.5326,0.2268
2005-12-31,105.85452050475,1896.0709,12.7527
2006-12-31,120.52198803061,1592.4724,-13.7169
2007-12-31,184.12882094454,2085.9107,34.5834
2008-12-31,204.12955193184,1705.598,-15.9781
2009-12-31,200.89667462969,2029.5333,22.2825
2010-12-31,246.46619018071,2008.9471,1.7398
2011-12-31,273.66336700154,1894.4556,-3.0562
2012-12-31,271.86476254204,1843.1853,0.0057
2013-12-31,379.11299657856,2172.0638,21.065
2014-12-31,411.96399127803,2128.7071,0.6137
2015-12-31,387.39465773036,2105.454,1.4533
2016-12-31,329.93174111127,1935.6705,-5.73
2017-12-31,301.07315158938,1869.3872,-0.9524
2018-12-31,323.03515824829,1918.4849,5.2209
2019-12-31,353.96218437543,1853.4945,-0.9931
2020-12-31,276.22160628852,1791.0102,-0.9838
2021-12-31,273.98351720304,2196.4202,25.6227
