,Zone de référence,Secteur institutionnel,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,CURRENCY
3310,Finland,Ménages,1990-03-01,,Millions,EUR
3311,Finland,Ménages,1990-06-01,0.010185397116044825,Millions,EUR
3312,Finland,Ménages,1990-09-01,-0.01336807522374528,Millions,EUR
3313,Finland,Ménages,1990-12-01,-0.009932253990125206,Millions,EUR
3314,Finland,Ménages,1991-03-01,-0.016120614670919076,Millions,EUR
3315,Finland,Ménages,1991-06-01,0.003005834855896783,Millions,EUR
3316,Finland,Ménages,1991-09-01,0.0021741685274414557,Millions,EUR
3317,Finland,Ménages,1991-12-01,-0.015479331574318356,Millions,EUR
3318,Finland,Ménages,1992-03-01,-0.021082722887260985,Millions,EUR
3319,Finland,Ménages,1992-06-01,-0.011255095212021615,Millions,EUR
3320,Finland,Ménages,1992-09-01,0.001538272212650682,Millions,EUR
3321,Finland,Ménages,1992-12-01,0.0006143638262579021,Millions,EUR
3322,Finland,Ménages,1993-03-01,-0.0027015411064038597,Millions,EUR
3323,Finland,Ménages,1993-06-01,-0.0028319891645631756,Millions,EUR
3324,Finland,Ménages,1993-09-01,-0.01031055133666725,Millions,EUR
3325,Finland,Ménages,1993-12-01,-0.008608858390517726,Millions,EUR
3326,Finland,Ménages,1994-03-01,0.002202365970299436,Millions,EUR
3327,Finland,Ménages,1994-06-01,-0.004771771206127928,Millions,EUR
3328,Finland,Ménages,1994-09-01,0.04371963913948651,Millions,EUR
3329,Finland,Ménages,1994-12-01,0.08226547388781436,Millions,EUR
3330,Finland,Ménages,1995-03-01,-0.023848087126500994,Millions,EUR
3331,Finland,Ménages,1995-06-01,-0.009669298546744476,Millions,EUR
3332,Finland,Ménages,1995-09-01,-0.016638742850540233,Millions,EUR
3333,Finland,Ménages,1995-12-01,0.008107631749015853,Millions,EUR
3334,Finland,Ménages,1996-03-01,0.025118013870272238,Millions,EUR
3335,Finland,Ménages,1996-06-01,0.007617964752700379,Millions,EUR
3336,Finland,Ménages,1996-09-01,0.014218009478673022,Millions,EUR
3337,Finland,Ménages,1996-12-01,0.020527369826435216,Millions,EUR
3338,Finland,Ménages,1997-03-01,-0.00506950122649219,Millions,EUR
3339,Finland,Ménages,1997-06-01,0.02947622178391418,Millions,EUR
3340,Finland,Ménages,1997-09-01,-0.01399680681213411,Millions,EUR
3341,Finland,Ménages,1997-12-01,0.019431100555945324,Millions,EUR
3342,Finland,Ménages,1998-03-01,0.014825011912956043,Millions,EUR
3343,Finland,Ménages,1998-06-01,0.010330255125997834,Millions,EUR
3344,Finland,Ménages,1998-09-01,0.0073328169377744334,Millions,EUR
3345,Finland,Ménages,1998-12-01,0.014251294407135795,Millions,EUR
3346,Finland,Ménages,1999-03-01,0.0020217336365933036,Millions,EUR
3347,Finland,Ménages,1999-06-01,0.009684741488020121,Millions,EUR
3348,Finland,Ménages,1999-09-01,0.013438577209372138,Millions,EUR
3349,Finland,Ménages,1999-12-01,-0.0041407867494823725,Millions,EUR
3350,Finland,Ménages,2000-03-01,0.019354519354519262,Millions,EUR
3351,Finland,Ménages,2000-06-01,-0.006992667411256259,Millions,EUR
3352,Finland,Ménages,2000-09-01,0.0007335322020636248,Millions,EUR
3353,Finland,Ménages,2000-12-01,0.004788897576231355,Millions,EUR
3354,Finland,Ménages,2001-03-01,0.013131018383425674,Millions,EUR
3355,Finland,Ménages,2001-06-01,0.006288402457757192,Millions,EUR
3356,Finland,Ménages,2001-09-01,0.0063922148547441715,Millions,EUR
3357,Finland,Ménages,2001-12-01,0.006256813764990321,Millions,EUR
3358,Finland,Ménages,2002-03-01,-0.0030618493570115923,Millions,EUR
3359,Finland,Ménages,2002-06-01,0.018947268947268947,Millions,EUR
3360,Finland,Ménages,2002-09-01,0.001344771620681584,Millions,EUR
3361,Finland,Ménages,2002-12-01,0.005603408354172501,Millions,EUR
3362,Finland,Ménages,2003-03-01,0.00888786553073917,Millions,EUR
3363,Finland,Ménages,2003-06-01,0.014834763556691666,Millions,EUR
3364,Finland,Ménages,2003-09-01,0.016776863221337646,Millions,EUR
3365,Finland,Ménages,2003-12-01,-0.00026541626116960426,Millions,EUR
3366,Finland,Ménages,2004-03-01,0.019513274336283137,Millions,EUR
3367,Finland,Ménages,2004-06-01,0.0001302026821752289,Millions,EUR
3368,Finland,Ménages,2004-09-01,0.001779204999132089,Millions,EUR
3369,Finland,Ménages,2004-12-01,0.012605588044184435,Millions,EUR
3370,Finland,Ménages,2005-03-01,0.0038501026694044427,Millions,EUR
3371,Finland,Ménages,2005-06-01,0.01938975539077825,Millions,EUR
3372,Finland,Ménages,2005-09-01,0.001588562351072298,Millions,EUR
3373,Finland,Ménages,2005-12-01,0.009015401310572324,Millions,EUR
3374,Finland,Ménages,2006-03-01,0.015222337125129215,Millions,EUR
3375,Finland,Ménages,2006-06-01,0.010797376033899742,Millions,EUR
3376,Finland,Ménages,2006-09-01,0.00653015156401171,Millions,EUR
3377,Finland,Ménages,2006-12-01,0.005246295554665492,Millions,EUR
3378,Finland,Ménages,2007-03-01,0.016652722999083602,Millions,EUR
3379,Finland,Ménages,2007-06-01,-0.0014499000744543356,Millions,EUR
3380,Finland,Ménages,2007-09-01,0.01828741856997107,Millions,EUR
3381,Finland,Ménages,2007-12-01,-0.006243255742253706,Millions,EUR
3382,Finland,Ménages,2008-03-01,0.02509113472426905,Millions,EUR
3383,Finland,Ménages,2008-06-01,-0.0003404834865509132,Millions,EUR
3384,Finland,Ménages,2008-09-01,-0.010785649409627562,Millions,EUR
3385,Finland,Ménages,2008-12-01,-0.00937296759631201,Millions,EUR
3386,Finland,Ménages,2009-03-01,-0.02745809840117397,Millions,EUR
3387,Finland,Ménages,2009-06-01,-0.006154945796767675,Millions,EUR
3388,Finland,Ménages,2009-09-01,0.006432795269298408,Millions,EUR
3389,Finland,Ménages,2009-12-01,0.010202866330541127,Millions,EUR
3390,Finland,Ménages,2010-03-01,0.0027902224318163693,Millions,EUR
3391,Finland,Ménages,2010-06-01,0.017282595916447763,Millions,EUR
3392,Finland,Ménages,2010-09-01,0.010362893905539794,Millions,EUR
3393,Finland,Ménages,2010-12-01,0.015251458420711517,Millions,EUR
3394,Finland,Ménages,2011-03-01,-0.002215795996544867,Millions,EUR
3395,Finland,Ménages,2011-06-01,0.01866907557964459,Millions,EUR
3396,Finland,Ménages,2011-09-01,0.0031776529707361334,Millions,EUR
3397,Finland,Ménages,2011-12-01,-0.0025782688766113893,Millions,EUR
3398,Finland,Ménages,2012-03-01,0.029837518463810886,Millions,EUR
